EVENT_DATE,EVENT_TYPE,COUNTRY,LOCATION,LATITUDE,LONGITUDE,FATALITIES
1-Feb-22,Explosions/Remote violence,Ukraine,Shakhta Trudovskaya,47.951,37.549,0
1-Feb-22,Explosions/Remote violence,Ukraine,Kominternove,47.175,37.811,0
1-Feb-22,Explosions/Remote violence,Ukraine,Sosnovskoye,47.297,37.908,0
1-Feb-22,Explosions/Remote violence,Ukraine,Vesele,48.061,37.712,0
1-Feb-22,Battles,Ukraine,Pisky,48.067,37.666,0
1-Feb-22,Explosions/Remote violence,Ukraine,Marinka,47.943,37.505,0
1-Feb-22,Protests,Ukraine,Vinnytsia,49.23,28.466,0
1-Feb-22,Explosions/Remote violence,Ukraine,Butovka-Donetskaya Mine,48.068,37.792,0
1-Feb-22,Explosions/Remote violence,Ukraine,Berezove,47.767,37.58,0
1-Feb-22,Explosions/Remote violence,Ukraine,Kalynove-Borshchuvate,48.62,38.492,0
1-Feb-22,Battles,Ukraine,Hranitne,47.457,37.868,0
1-Feb-22,Battles,Ukraine,Naberezhne,47.315,37.845,0
1-Feb-22,Explosions/Remote violence,Ukraine,Khutir Vilny,48.683,38.551,0
1-Feb-22,Battles,Ukraine,Vodyane,47.148,37.788,0
1-Feb-22,Battles,Ukraine,Yasynuvata,48.13,37.859,0
1-Feb-22,Battles,Ukraine,Novoluhanske,48.426,38.171,0
1-Feb-22,Battles,Ukraine,Kruta Hora,48.659,39.142,0
1-Feb-22,Explosions/Remote violence,Ukraine,Zolote-4,48.679,38.514,0
1-Feb-22,Battles,Ukraine,Serhiivka,47.13,37.836,0
1-Feb-22,Battles,Ukraine,Berezivske,48.671,38.603,0
1-Feb-22,Battles,Ukraine,Novotoshkivske,48.723,38.635,0
1-Feb-22,Battles,Ukraine,Molodizhne,48.643,38.477,0
1-Feb-22,Battles,Ukraine,Orikhove,48.719,38.569,0
1-Feb-22,Protests,Ukraine,Kyiv,50.45,30.522,0
1-Feb-22,Protests,Ukraine,Kyiv,50.45,30.522,0
1-Feb-22,Protests,Ukraine,Kyiv,50.45,30.522,0
1-Feb-22,Battles,Ukraine,Viktorivka,47.635,37.809,0
2-Feb-22,Battles,Ukraine,Kominternove,47.175,37.811,0
2-Feb-22,Battles,Ukraine,Pisky,48.067,37.666,0
2-Feb-22,Explosions/Remote violence,Ukraine,Verkhnyoshyrokivske,47.235,37.864,0
2-Feb-22,Explosions/Remote violence,Ukraine,Hnutove,47.207,37.75,0
2-Feb-22,Explosions/Remote violence,Ukraine,Talakivka,47.192,37.725,0
2-Feb-22,Explosions/Remote violence,Ukraine,Vodyane,48.096,37.667,0
2-Feb-22,Battles,Ukraine,Kashtanove,48.121,37.831,0
2-Feb-22,Battles,Ukraine,Kruta Balka,48.143,37.826,0
2-Feb-22,Explosions/Remote violence,Ukraine,Luhanske,48.431,38.255,0
2-Feb-22,Battles,Ukraine,Donetsk Filtration Station,48.133,37.808,0
2-Feb-22,Explosions/Remote violence,Ukraine,Novohryhorivka,48.365,38.418,0
2-Feb-22,Explosions/Remote violence,Ukraine,Mineralne,48.1,37.825,0
2-Feb-22,Battles,Ukraine,Zhabichevo,48.062,37.697,0
2-Feb-22,Battles,Ukraine,Hannivka,48.484,38.55,0
2-Feb-22,Explosions/Remote violence,Ukraine,Tekstylnyk,47.944,37.693,0
2-Feb-22,Battles,Ukraine,Vodyane,47.148,37.788,0
2-Feb-22,Explosions/Remote violence,Ukraine,Sanzharivka,48.438,38.426,0
2-Feb-22,Battles,Ukraine,Myrne,48.361,39.088,0
2-Feb-22,Battles,Ukraine,Pyshchevyk,47.242,37.792,0
2-Feb-22,Battles,Ukraine,Depreradivka,48.363,38.495,0
2-Feb-22,Explosions/Remote violence,Ukraine,Molodizhne,48.643,38.477,0
2-Feb-22,Explosions/Remote violence,Ukraine,Novooleksandrivka,48.619,38.428,0
2-Feb-22,Battles,Ukraine,Almazna,48.52,38.58,0
2-Feb-22,Protests,Ukraine,Kyiv,50.45,30.522,0
3-Feb-22,Explosions/Remote violence,Ukraine,Donetsk Filtration Station,48.133,37.808,0
3-Feb-22,Battles,Ukraine,Shyrokyne,47.099,37.82,0
3-Feb-22,Explosions/Remote violence,Ukraine,Logvinovo,48.38,38.347,0
3-Feb-22,Battles,Ukraine,Verkhnyoshyrokivske,47.235,37.864,0
3-Feb-22,Battles,Ukraine,Vilny,48.566,39.451,0
3-Feb-22,Battles,Ukraine,Bohuslavske,48.648,38.421,0
3-Feb-22,Protests,Ukraine,Kyiv,50.45,30.522,0
3-Feb-22,Protests,Ukraine,Kyiv,50.45,30.522,0
4-Feb-22,Battles,Ukraine,Donetsk Filtration Station,48.133,37.808,0
4-Feb-22,Explosions/Remote violence,Ukraine,Berezove,47.767,37.58,0
4-Feb-22,Explosions/Remote violence,Ukraine,Kominternove,47.175,37.811,0
4-Feb-22,Battles,Ukraine,Popasna,48.633,38.378,0
4-Feb-22,Battles,Ukraine,Pavlopil,47.266,37.779,0
4-Feb-22,Battles,Ukraine,Shyrokyne,47.099,37.82,0
4-Feb-22,Explosions/Remote violence,Ukraine,Spartak,48.079,37.764,0
4-Feb-22,Explosions/Remote violence,Ukraine,Kalynove-Borshchuvate,48.62,38.492,0
4-Feb-22,Battles,Ukraine,Vodyane,47.148,37.788,0
4-Feb-22,Battles,Ukraine,Molodizhne,48.643,38.477,0
4-Feb-22,Protests,Ukraine,Lviv,49.841,24.03,0
4-Feb-22,Battles,Ukraine,Serhiivka,47.13,37.836,0
4-Feb-22,Explosions/Remote violence,Ukraine,Vodyane,47.148,37.788,0
4-Feb-22,Protests,Ukraine,Kyiv,50.45,30.522,0
5-Feb-22,Strategic developments,Ukraine,Donetsk,48.015,37.801,0
5-Feb-22,Protests,Ukraine,Kharkiv,49.981,36.253,0
5-Feb-22,Battles,Ukraine,Pyshchevyk,47.242,37.792,0
5-Feb-22,Explosions/Remote violence,Ukraine,Verkhnyoshyrokivske,47.235,37.864,0
5-Feb-22,Explosions/Remote violence,Ukraine,Sosnovskoye,47.297,37.908,0
5-Feb-22,Explosions/Remote violence,Ukraine,Spartak,48.079,37.764,0
5-Feb-22,Explosions/Remote violence,Ukraine,Hirnyak,48.007,37.715,0
5-Feb-22,Battles,Ukraine,Berezove,47.767,37.58,0
5-Feb-22,Explosions/Remote violence,Ukraine,Pavlopil,47.266,37.779,0
5-Feb-22,Battles,Ukraine,Pisky,48.067,37.666,0
5-Feb-22,Battles,Ukraine,Avdiivka,48.139,37.75,0
5-Feb-22,Battles,Ukraine,Chermalyk,47.316,37.809,0
5-Feb-22,Battles,Ukraine,Lomakyne,47.17,37.715,0
5-Feb-22,Battles,Ukraine,Vodyane,47.148,37.788,0
5-Feb-22,Explosions/Remote violence,Ukraine,Molodizhne,48.643,38.477,0
5-Feb-22,Battles,Ukraine,Khutir Vilny,48.683,38.551,0
6-Feb-22,Battles,Ukraine,Kominternove,47.175,37.811,0
6-Feb-22,Explosions/Remote violence,Ukraine,Shakhta Trudovskaya,47.951,37.549,0
6-Feb-22,Explosions/Remote violence,Ukraine,Vesele,48.061,37.712,0
6-Feb-22,Battles,Ukraine,Uzhivka,47.145,37.856,0
6-Feb-22,Battles,Ukraine,Verkhnyotoretske,48.214,37.88,1
6-Feb-22,Explosions/Remote violence,Ukraine,Vodyane,48.096,37.667,0
6-Feb-22,Explosions/Remote violence,Ukraine,Pisky,48.067,37.666,0
6-Feb-22,Battles,Ukraine,Vodyane,47.148,37.788,0
6-Feb-22,Battles,Ukraine,Zolote-5,48.672,38.56,0
6-Feb-22,Explosions/Remote violence,Ukraine,Shakhta imeni Izotova,48.371,37.993,0
6-Feb-22,Explosions/Remote violence,Ukraine,Zhabichevo,48.062,37.697,0
6-Feb-22,Explosions/Remote violence,Ukraine,Zaitseve,48.429,38.009,0
6-Feb-22,Protests,Ukraine,Kyiv,50.45,30.522,0
7-Feb-22,Battles,Ukraine,Vodyane,47.148,37.788,0
